,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE
31,27 ROUTE 56,MAPLECREST,NY,12454,42.27627645000365,-74.18671039424618
32,48 1ST STREET,ILION,NY,13357,43.01483834469059,-75.03740506688405
33,3087 BRIDGE STREET,NEWPORT,NY,13416,43.18581331213352,-75.01519606171018
34,3462 STATE HIGHWAY 8,JOHNSBURG,NY,12843,43.61724569271382,-73.96281336646871
35,3 POST OFFICE LOOP,BAKERS MILLS,NY,12811,43.61687219583945,-74.02571435387108
36,50 MAIN STREET,ANTWERP,NY,13608,44.199573158476596,-75.6079025920402
37,8872 STATE HIGHWAY 178,HENDERSON,NY,13650,43.84614424027524,-76.18423263072896
38,10 MILLER STREET,PLATTSBURGH,NY,12901,44.70073398061538,-73.45155746517895
39,742 BEAR SWAMP ROAD,PERU,NY,12972,44.577210022473764,-73.51640784945329
40,66 MINEOLA AVENUE,ROSLYN HEIGHTS,NY,11577,40.789887343977455,-73.65209832945101
41,2611 MERRICK ROAD,BELLMORE,NY,11710,40.66316473688261,-73.52908970776684
42,137 NORTH COURT STREET,WAMPSVILLE,NY,13163,43.080812649796485,-75.70777040334355
43,6188 VALLEY MILLS ROAD,MUNNSVILLE,NY,13409,42.97678637287464,-75.58758289103008
44,126 BROADWAY,FORT EDWARD,NY,12828,43.26821424325561,-73.58548552226273
45,51 EAST MAIN STREET,CAMBRIDGE,NY,12816,43.02807628008668,-73.37760260696041
46,13 KINGS FERRY ROAD,MONTROSE,NY,10548,41.252657635967466,-73.93274554151537
47,440 EAST SANDFORD BOULEVARD,MOUNT VERNON,NY,10550,40.90082225318025,-73.81964805939924
48,3109 MAIN STREET,CONSTABLEVILLE,NY,13325,43.563994455296495,-75.42941240898392
49,6036 MAIN STREET,GLENFIELD,NY,13343,43.71035223319433,-75.40186889652665
50,67 CASTLE STREET,GENEVA,NY,14456,42.86770945012728,-76.98314844928052
51,137 NORTH MAIN STREET,NAPLES,NY,14512,42.617743513015284,-77.40006733509176
52,6002 STATE ROUTE 281,LITTLE YORK,NY,13087,42.696684868101045,-76.1638618609689
53,2320 MAIN STREET,BLODGETT MILLS,NY,13738,42.567778640176186,-76.12257160061631
54,2845 RICHMOND AVENUE SUITE 15,STATEN ISLAND,NY,10314,40.5758857766013,-74.16806550781678
55,45 BAY STREET SUITE 2,STATEN ISLAND,NY,10301,40.64105575983348,-74.07541553400227
56,13127 BROADWAY STREET,ALDEN,NY,14004,42.89833029799644,-78.49807946880406
57,8230 NORTH MAIN STREET,EDEN,NY,14057,42.662955569195105,-78.89156785673498
58,51 CHESTNUT STREET,COLD SPRING,NY,10516,41.41783447008612,-73.95220036856853
59,167 ROUTE 6,MAHOPAC,NY,10541,41.348541850402,-73.75359456575177
60,216 MOHAWK DRIVE,TRIBES HILL,NY,12177,42.95522030207479,-74.28328883680462
61,1 WEST MAIN STREET,FONDA,NY,12068,42.954256424992934,-74.37489763978743
62,12 PROCTOR ROAD,ELDRED,NY,12732,41.526255808459496,-74.88340581191477
63,933 STATE HIGHWAY 17B,MONGAUP VALLEY,NY,12762,41.66675258740804,-74.78140124228145
64,128 WEST CENTER STREET,MEDINA,NY,14103,43.22059480687119,-78.3885719887657
65,4540 HOLLEY BYRON ROAD,CLARENDON,NY,14429,43.19325943712198,-78.06511407676777
66,11440 STATE ROUTE 12,ALDER CREEK,NY,13301,43.415595278443504,-75.22383697701133
67,216 MAIN STREET,ORISKANY FALLS,NY,13425,42.939542375015776,-75.46207793393324
68,3722 MAIN STREET,HINSDALE,NY,14743,42.162520638721844,-78.39344505438316
69,5 PARK STREET,SOUTH DAYTON,NY,14138,42.36117749883016,-79.04959424815632
70,1213 MAIN STREET,MIDDLESEX,NY,14507,42.704726492046916,-77.27132936966655
71,5160 LAKEMONT HIMROD ROAD,LAKEMONT,NY,14857,42.51559651213216,-76.92833049311565
72,13299 STATE ROUTE 38,RICHFORD,NY,13835,42.35576162383859,-76.20104754320283
73,12324 STATE HIGHWAY 38,BERKSHIRE,NY,13736,42.293970522892835,-76.18527874843568
74,1485 HOWARD ROAD,ROCHESTER,NY,14624,43.13350028825636,-77.69204411797188
75,640 NORTH GREECE ROAD,NORTH GREECE,NY,14515,43.252685412029734,-77.73227817832606
76,1748 STATE ROUTE 30,NORTH BLENHEIM,NY,12131,42.46861018408009,-74.45554288653722
77,859 STATE ROUTE 443 SUITE 2,GALLUPVILLE,NY,12073,42.66596638273211,-74.2347382452133
78,10 OCTAGON STREET,GLEN AUBREY,NY,13777,42.25630452295127,-76.01244180599559
79,2641 MAIN STREET,WHITNEY POINT,NY,13862,42.32885650825534,-75.969022815438
80,400 BROADWAY,TROY,NY,12180,42.73145534617208,-73.68859752522769
81,531 EAST STREET,RENSSELAER,NY,12144,42.64139036506191,-73.74117851472943
82,38 STATE STREET,SENECA FALLS,NY,13148,42.9116434344341,-76.79793050477639
83,1969 SENECA STREET,ROMULUS,NY,14541,42.75186448155711,-76.83495844326058
84,19220 HORACE HARDING EXPRESSWAY,FRESH MEADOWS,NY,11365,40.741398730511094,-73.78307362091437
85,25010 NORTHERN BOULEVARD,LITTLE NECK,NY,11362,40.76843072317746,-73.7370966345274
86,8643 READ ROAD,EAST PEMBROKE,NY,14056,42.9950744832629,-78.30962801388824
87,6332 ROUTE 262,BYRON,NY,14422,43.07946645813189,-78.06326008614565
88,522 EAST MAIN STREET,PALMYRA,NY,14522,43.063073094615675,-77.22470555619725
89,6144 STATE ROUTE 21,WILLIAMSON,NY,14589,43.22289939436763,-77.18607035625723
90,367 MCCHESNEY STREET,WILSON,NY,14172,43.30782998069412,-78.82849703495788
91,141 GOUNDRY STREET,NORTH TONAWANDA,NY,14120,43.025023546758064,-78.87308948384697
92,532 NEPTUNE AVENUE,BROOKLYN,NY,11224,40.579211523471145,-73.97403293207628
93,9402 CHURCH AVENUE,BROOKLYN,NY,11212,40.654624751479105,-73.91675458320685
94,255 CLEMENS CENTER PARKWAY,ELMIRA,NY,14901,42.09004970966771,-76.80552209330625
95,624 TUTTLE AVENUE,HORSEHEADS,NY,14845,42.16214841476409,-76.81633406828945
96,4530 STATE HIGHWAY 78,JAVA VILLAGE,NY,14083,42.670946345224365,-78.43570107306755
97,37 NORTH MAIN STREET,SILVER SPRINGS,NY,14550,42.66013030461613,-78.0833528288228
98,700 COLUMBUS AVENUE,NEW YORK,NY,10025,40.79216376272393,-73.96848892166821
99,511 WEST 165TH STREET,NEW YORK,NY,10032,40.83860713452685,-73.93898629775572
100,48 RIVERVIEW STREET,STUYVESANT,NY,12173,42.387932414413626,-73.78412951674608
101,2354 STATE HIGHWAY 66,GHENT,NY,12075,42.33173241866757,-73.61243257638756
102,3479 OLD BRIDGE ROAD,STOW,NY,14785,42.155060263733446,-79.40604360176974
103,5006 MILL STREET,ELLINGTON,NY,14732,42.21696366051236,-79.10790682410749
104,16 RAGGED LAKE ROAD,OWLS HEAD,NY,12969,44.73353460868947,-74.17123409843686
105,1794 STATE ROUTE 95,BOMBAY,NY,12914,44.938272982330034,-74.56705307594746
106,115 NORTH MAIN STREET,MINOA,NY,13116,43.07515897168025,-76.0016940497623
107,106 SOUTH STREET,ELBRIDGE,NY,13060,43.03365739778633,-76.44844860844387
108,20 - 22 EAST MAIN STREET,NORWICH,NY,13815,42.53107345273315,-75.5218709442571
109,168 COUNTY ROAD 23,NORTH NORWICH,NY,13814,42.61661943697533,-75.52704793695739
110,151 NORTH MAIN STREET,NORTHVILLE,NY,12134,43.22699627248625,-74.17281933385107
111,6186 STATE ROUTE 29,STRATFORD,NY,13470,43.179842832976135,-74.69517333720694
112,1515 US HIGHWAY 202,POMONA,NY,10970,41.18185365378571,-74.051947507997
113,48 SOUTH BROADWAY,NYACK,NY,10960,41.08880163413852,-73.9192414154947
114,116 MAIN STREET,DANSVILLE,NY,14437,42.559714536022,-77.69424124505178
115,2706 MAIN STREET,YORK,NY,14592,42.87084088970573,-77.8859127968376
116,798 COLONEL HARPER DRIVE,HARPERSFIELD,NY,13786,42.43750997058669,-74.68124003514521
117,387 HALCOTTSVILLE ROAD,HALCOTTSVILLE,NY,12438,42.20767597615179,-74.60131901026926
118,130 FIREFIGHTERS MEMORIAL DRIVE,FORT MONTGOMERY,NY,10922,41.331244622303814,-73.98759351955522
119,49 COUNTY HIGHWAY 17,THOMPSON RIDGE,NY,10985,41.56887478755999,-74.33093029506398
120,1976 SCHUYLER STREET,SCHENECTADY,NY,12303,42.7939323439918,-73.93228744151611
121,93 WEST CAMPBELL ROAD,SCHENECTADY,NY,12306,42.80815834292804,-73.9886024226787
122,1132 SOUTHERN BOULEVARD,BRONX,NY,10459,40.82736871683596,-73.89166158116251
123,2963 WEBSTER AVENUE,BRONX,NY,10458,40.86781070948149,-73.88322458117557
124,2121 5TH AVE,NEW YORK,NY,10037,40.80980937968104,-73.93909272981821
125,605 SHEPHERD AVE,BROOKLYN,NY,11208,40.66941036298649,-73.87921720260817
126,1028 WHITE PLAINS RD,BRONX,NY,10472,40.826996487911835,-73.85966888016713
127,1870 STILLWELL AVE,BROOKLYN,NY,11223,40.6008251961017,-73.9863783198123
128,253-50 149TH AVE,ROSEDALE,NY,11422,40.652705375845045,-73.73523304596337
129,370 MARCY AVE,BROOKLYN,NY,11206,40.70194417905749,-73.9535666767301
130,325 BUSHWICK AVE,BROOKLYN,NY,11206,40.705057358176354,-73.93885043442314
131,730 E 12TH ST,NEW YORK,NY,10009,40.72622676580703,-73.97497106677017
132,1500 E 92ND ST,BROOKLYN,NY,11236,40.634976022810704,-73.89799418034231
133,1866 E 17TH ST,BROOKLYN,NY,11229,40.6042450829596,-73.95579074188021
134,276 W 151ST ST,NEW YORK,NY,10027,40.825858083014204,-73.9377416986652
135,601 OCEANVIEW AVE,BROOKLYN,NY,11235,40.579934407117605,-73.9618740997466
136,75 MESEROLE AVE,BROOKLYN,NY,11222,40.72688338818819,-73.95403419144499
137,2675 E 29TH ST,BROOKLYN,NY,11235,40.58766390031208,-73.93997254968895
138,223 W 132ND ST,NEW YORK,NY,10027,40.80974238511702,-73.93913984375992
139,1070 E 83RD ST,BROOKLYN,NY,11236,40.63396832871855,-73.90815890883627
140,1400 PENNSYLVANIA AVE,BROOKLYN,NY,11239,40.64679440376235,-73.88185620228296
141,9301 AVE B,BROOKLYN,NY,11236,40.648000995335735,-73.92226882964894
142,8696 24TH AVE,BROOKLYN,NY,11214,40.59763934771071,-73.9919112736159
143,200 CITY ISLAND AVE,BRONX,NY,10464,40.84380542793482,-73.78477022009795
144,126-10 BEDELL ST,JAMAICA,NY,11434,40.67998318598964,-73.77441836714041
145,3314 NEPTUNE AVE,BROOKLYN,NY,11224,40.5768079067912,-74.00040979973436
146,141 E 111TH ST,NEW YORK,NY,10029,40.795856458668254,-73.94445436232073
147,845 E 96TH ST,BROOKLYN,NY,11236,40.64865799020518,-73.90693628286996
148,90-07 101ST ST,OZONE PARK,NY,11416,40.68333633984555,-73.84996267155712
149,25-05 37TH AVE,LONG ISLAND CITY,NY,11101,40.757265214150685,-73.9339980802114
150,535 E 119TH ST,NEW YORK,NY,10035,40.79648644194,-73.93011412694393
151,216 CLAWSON ST,STATEN ISLAND,NY,10306,40.57377797286416,-74.10893253114385
152,29-66 137TH ST,FLUSHING,NY,11354,40.769774051047044,-73.83194745260751
153,36-24 12TH ST,LONG ISLAND CITY,NY,11106,40.758685462839516,-73.93928872424691
154,2750 LAFAYETTE AVE,BRONX,NY,10465,40.82722437291573,-73.82922370676714
155,2944 PITKIN AVE,BROOKLYN,NY,11208,40.67630631000737,-73.86311564943696
156,134-01 CRONSTON AVE,ROCKAWAY PARK,NY,11694,40.577974100846454,-73.85455867084129
157,4105 FARRAGUT RD,BROOKLYN,NY,11210,40.63743013682373,-73.93700771489094
158,219 E 109TH ST,NEW YORK,NY,10029,40.793150978204956,-73.942009414917
159,601 STICKBALL BLVD,BRONX,NY,10473,40.81852352412472,-73.85681518313946
160,411 THATFORD AVE,BROOKLYN,NY,11212,40.659941168965325,-73.90681833766642
161,87 BAY 49TH ST,BROOKLYN,NY,11214,40.58750972567947,-73.9856317093184
162,415 AVE S,BROOKLYN,NY,11223,40.60246162833373,-73.96996983027479
163,145-01 119TH AVE,SOUTH OZONE PARK,NY,11436,40.67869325375129,-73.79547753910836
164,131 IRWIN ST,BROOKLYN,NY,11235,40.5803649049573,-73.94379506627583
165,208 N 5TH ST,BROOKLYN,NY,11211,40.71524301274071,-73.95707277074129
166,26-01 MOTT AVE,FAR ROCKAWAY,NY,11691,40.60814486886582,-73.76493729071365
167,875 WILLIAMS RD,BROOKLYN,NY,11207,40.654093145917976,-73.89435847560527
168,610 E 12TH ST,NEW YORK,NY,10009,40.727723763289326,-73.97847408584813
169,9719 FLATLANDS AVE,BROOKLYN,NY,11236,40.644215431234514,-73.90076439872726
170,2635 LINDEN BLVD,BROOKLYN,NY,11208,40.66918272486092,-73.86729822336613
171,825 HICKSVILLE RD,FAR ROCKAWAY,NY,11691,40.59991461091737,-73.74427790677638
172,55-01 94TH ST,ELMHURST,NY,11373,40.73742164672526,-73.8681312904179
173,14-14 29TH AVE,LONG ISLAND CITY,NY,11102,40.771010738947965,-73.92904790216016
174,36-36 10TH ST,LONG ISLAND CITY,NY,11106,40.760762691791925,-73.94144599875732
175,2589 7TH AVE,NEW YORK,NY,10039,40.824176375750525,-73.93631917958187
176,800 VAN SICLEN AVE,BROOKLYN,NY,11207,40.659801081832185,-73.88560373020486
177,192 E 151ST ST,BRONX,NY,10451,40.81877893728336,-73.86861242269418
178,421 LINCOLN AVE,STATEN ISLAND,NY,10306,40.57473352016391,-74.0992889629569
179,171-05 137TH AVE,JAMAICA,NY,11434,40.673236549258405,-73.76899901518595
180,2529 GERRITSEN AVE,BROOKLYN,NY,11229,40.59614050489773,-73.92826977607116
181,160 BEACH 29TH ST,FAR ROCKAWAY,NY,11691,40.59370411592569,-73.76146766740466
182,141 MACON ST,BROOKLYN,NY,11216,40.65573562332682,-73.9067536490845
183,1070 E 104TH ST,BROOKLYN,NY,11236,40.6432711680864,-73.8957082832529
184,215 HEYWARD ST,BROOKLYN,NY,11206,40.70387367604733,-73.95346184333644
185,2365 WATERBURY AVE,BRONX,NY,10462,40.8351987502375,-73.84655607584511
186,1695 SEWARD AVE,BRONX,NY,10473,40.81875532006113,-73.86857994680004
187,560 THERIOT AVE,BRONX,NY,10473,40.81690015690427,-73.86062234482318
188,2951 W 3RD ST,BROOKLYN,NY,11229,40.57760472114423,-73.9708494417364
189,557 PENNSYLVANIA AVE,BROOKLYN,NY,11207,40.66372847190103,-73.89323216161385
190,55 BATTERY PL,NEW YORK,NY,10011,40.706183867329024,-74.01769476291814
191,1800 UTICA AVE,BROOKLYN,NY,11234,40.62840766720559,-73.9281569952822
192,982 HEGEMAN AVE,BROOKLYN,NY,11208,40.6660968769482,-73.87635567227122
193,315 E 113TH ST,NEW YORK,NY,10029,40.79487771069069,-73.93829091066361
194,2075 84TH ST,BROOKLYN,NY,11214,40.60493984872112,-73.99530594509082
195,31-15 140TH ST,FLUSHING,NY,11354,40.77020437185211,-73.82809048832443
196,98 GRANT ST,STATEN ISLAND,NY,10301,40.63378286426658,-74.07839323586165
197,3-65 BEACH 56TH ST,ARVERNE,NY,11692,40.590900407684224,-73.7866177213624
198,71 SULLIVAN ST,BROOKLYN,NY,11231,40.67713282792882,-74.0117889417963
199,360 W 230TH ST,BRONX,NY,10463,40.87978108498675,-73.91074656170771
200,108 MONTROSE AVE,BROOKLYN,NY,11206,40.70694742315914,-73.94523077622078
201,1535 STORY AVE,BRONX,NY,10473,40.82242364895942,-73.877412041638
202,970 VERMONT ST,BROOKLYN,NY,11207,40.65521943375829,-73.88634413783171
203,122-05 SMITH ST,JAMAICA,NY,11434,40.67969860890436,-73.77813061822111
204,1420 E 68TH ST-3RD FL,BROOKLYN,NY,11234,40.620898339919584,-73.91289315614773
205,126-28 150TH ST,SOUTH OZONE PARK,NY,11436,40.6718901247579,-73.78868823837931
206,280 REGIS DR,STATEN ISLAND,NY,10314,40.620333852930514,-74.16453939797273
207,1007 EVERGREEN AVE,BRONX,NY,10472,40.824046976172696,-73.88030273488235
208,178-37 146TH TERRACE,JAMAICA,NY,11434,40.66136391533192,-73.76695367794646
209,131 NORMAN AVE,BROOKLYN,NY,11222,40.72639801192771,-73.94973515992238
210,201 WARREN ST,NEW YORK,NY,10282,40.7169725548933,-74.01386228760802
211,4011 FILLMORE AVE,BROOKLYN,NY,11234,40.613767088985874,-73.93013604314191
212,442 E HOUSTON ST,NEW YORK,NY,10002,40.71967491229907,-73.97748814799289
213,6302 AVE U,BROOKLYN,NY,11234,40.61585034890959,-73.91250575318986
