,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE
23,14283 JIBBOOM STREET,FIDDLETOWN,CA,95629,38.505739804814596,-120.76012641882994
24,19173 NEW YORK FLAT ROAD,FORBESTOWN,CA,95941,39.51891982511694,-121.27597174302923
25,40555 VALLEY OF THE FALLS DRIVE,FOREST FALLS,CA,92339,34.08840448875452,-116.9205355216647
26,15517 NOPEL AVENUE,FOREST RANCH,CA,95942,39.87452180685665,-121.68181799239926
27,39039 SAWYERS BAR ROAD,FORKS OF SALMON,CA,96031,41.258775720333006,-123.32139582214597
28,4850 MARSHALL ROAD,GARDEN VALLEY,CA,95633,38.855543848021625,-120.85608389472264
29,16087 STATE HIGHWAY 26,GLENCOE,CA,95232,38.35230505192777,-120.58391796910342
30,6745 MAIN STREET,GREENVIEW,CA,96037,41.54852784696658,-122.90684189049779
31,3811 STATE HIGHWAY 193,GREENWOOD,CA,95635,38.9052118489862,-120.91694687900315
32,4991 SCIARONI ROAD,GRIZZLY FLATS,CA,95636,38.63968813794003,-120.52506514731976
33,31610 US HIGHWAY 74,HOMELAND,CA,92548,33.743738681997854,-117.10895118803893
34,1209 NORTH RAILROAD STREET,JACUMBA,CA,91934,32.618022888953476,-116.18980137592399
35,5500 GADDY LANE,KELSEYVILLE,CA,95451,38.98133299157638,-122.83540357602533
36,30204 FLOTO STREET,LA GRANGE,CA,95329,37.66168715820805,-120.46112406721068
37,7120 SIR FRANCIS DRAKE BOULEVARD,LAGUNITAS,CA,94938,38.014202444119235,-122.69724380957314
38,6441 LAKE ISABELLA BOULEVARD,LAKE ISABELLA,CA,93240,35.63019089156967,-118.47399136925344
39,17234 PEARBLOSSOM HIGHWAY,LLANO,CA,93544,34.50572282664842,-117.8203291390181
40,8150 PESCADERO CREEK ROAD,LOMA MAR,CA,94021,37.269674366108234,-122.30882243205104
41,25955 LONG BARN DRIVE,LONG BARN,CA,95335,38.09176023983218,-120.13620766667339
42,10418 HIGHLAND AVENUE,LUCERNE VALLEY,CA,92356,34.442727026746184,-116.95271300078144
43,711-950 LASSEN STREET,MADELINE,CA,96119,41.051313758155004,-120.47661019114497
44,7091 BUCKS LAKE ROAD,MEADOW VALLEY,CA,95956,39.936598320301925,-121.06035811940558
45,16930 PLACER HILLS ROAD,MEADOW VISTA,CA,95722,38.99846684884142,-121.02220285071479
46,27600 OAK RUN TO FERN ROAD,OAK RUN,CA,96069,40.68492368997374,-122.02619343561474
47,30754 EAST KINGS CANYON ROAD,SQUAW VALLEY,CA,93675,36.740166551305094,-119.2496725076328
48,8753 MARYSVILLE ROAD,OREGON HOUSE,CA,95962,39.35743283890923,-121.27547776490496
49,2788 STATE HIGHWAY 254,PHILLIPSVILLE,CA,95559,40.20882676467107,-123.78635559538259
50,8651 STATE HIGHWAY 128,PHILO,CA,95466,39.0659405997784,-123.44040051987793
51,411 PINECREST LAKE ROAD,PINECREST,CA,95364,38.19209574175977,-119.9964617127236
52,28858 OLD HIGHWAY 80,PINE VALLEY,CA,91962,32.82190719384539,-116.5292272014388
53,3126 HOWSLEY ROAD,PLEASANT GROVE,CA,95668,38.8241405814037,-121.50251826559423
54,25050 STATE HIGHWAY 94,POTRERO,CA,91963,32.604912224390546,-116.61025120235468
55,1275 WEST PARK AVENUE,REDLANDS,CA,92373,34.058565084634154,-117.20174998997823
56,5221 DEER VALLEY ROAD,RESCUE,CA,95672,38.71212286803592,-120.95204089769868
57,2156 RIO OSO ROAD,RIO OSO,CA,95674,38.961324445774096,-121.53827736449705
58,17612 PENN VALLEY DRIVE,PENN VALLEY,CA,95946,39.19836043603118,-121.17952271609562
59,29620 STATE HIGHWAY 299 EAST,ROUND MOUNTAIN,CA,96084,40.80323177937345,-121.94042246074787
60,6040 GRIZZLY FLAT ROAD,SOMERSET,CA,95684,38.64737185251141,-120.68460794811381
61,16939 SKYWAY ROAD,STIRLING CITY,CA,95978,39.902251960980266,-121.52916318534454
62,87200 AIRPORT BOULEVARD,THERMAL,CA,92274,33.64252907486326,-116.14279420828859
63,28425 GIBBS RANCH ROAD,TOLLHOUSE,CA,93667,37.01585090921054,-119.40121934177256
64,30595 TRABUCO CANYON ROAD,TRABUCO CANYON,CA,92678,33.654235461303415,-117.59807067894639
65,8271 CAMANCHE PARKWAY SOUTH,WALLACE,CA,95254,38.19814412508373,-120.98033288411312
66,5765 VISTA GRANDE DRIVE,WELDEN,CA,93283,35.6561121811128,-118.32701431323159
67,11 LUM STREET,WEOTT,CA,95571,40.32487898115761,-123.92412823475206
68,30544 WHITMORE ROAD,WHITMORE,CA,96096,40.629136839018656,-121.91380251808084
69,2127 WINTERHAVEN DRIVE,WINTERHAVEN,CA,92283,32.73830454085015,-114.6355982595864
70,183 SAN GERONIMO VALLEY DRIVE,WOODACRE,CA,94973,38.01268304099659,-122.64440968673847
71,9017 VILLAGE DRIVE,YOSEMITE NATIONAL PARK,CA,95389,37.74861785286481,-119.58797123106598
72,100 COUNTRY CLUB DRIVE,WILLOW CREEK,CA,95573,40.94108840728444,-123.62949062479277
73,25400 STATE HIGHWAY 128,YORKVILLE,CA,95494,38.9067212573172,-123.23374980144871
74,4391A TRINITY DAM BOULEVARD,LEWISTON,CA,96052,40.70230640661339,-122.80097250837048
75,44670 MATTOLE ROAD,HONEYDEW,CA,95545,40.24352154899219,-124.12363939798405
76,12529 STATE HIGHWAY 44 / 89,OLD STATION,CA,96071,40.65066725148523,-121.45999925836855
77,26531 RUTH ZENIA ROAD,ZENIA,CA,95595,40.2053109532182,-123.49140631459045
78,3390 STATE HIGHWAY 36,HYDESVILLE,CA,95547,40.547256356854064,-124.0970451844837
79,8975 FRENCHTOWN,BROWNSVILLE,CA,95919,39.45169562209628,-121.28256737426898
80,99 PINEHURST ROAD,CANYON,CA,94516,37.83040003294616,-122.16588581664791
81,333 NORTH SUNRISE WAY,PALM SPRINGS,CA,92262,33.82798723603372,-116.52887008164765
82,33124 CANFIELD ROAD,PALOMAR MOUNTAIN,CA,92060,33.314525661830714,-116.86553237383345
83,7417 LAPORTE ROAD,RACKERBY,CA,95972,39.44100457836288,-121.33549802314513
84,28480 US HIGHWAY 74,SUN CITY,CA,92585,33.74344528303993,-117.16414970357823
85,21977 STATE HIGHWAY 79,SANTA YSABEL,CA,92070,33.11005816735644,-116.67353515538144
86,8242 SMARTVILLE ROAD,SMARTSVILLE,CA,95977,39.20619068393569,-121.29657949299724
87,17987 STATE HIGHWAY 155,WOODY,CA,93287,35.70460601749585,-118.83362181140359
88,13691 RED HILLS ROAD,CHINESE CAMP,CA,95309,37.87205985788154,-120.43249149433848
89,38775 CONTRERAS ROAD,ANZA,CA,92539,33.558661113535095,-116.67504312100414
90,100 WEST HIGH STREET,MOORPARK,CA,93021,34.28515140511581,-118.88379963736736
91,6730 MT BALDY ROAD,MT BALDY,CA,91759,34.23672757289927,-117.65870982051894
92,1470 EAST VALLEY ROAD SUITE H,SANTA BARBARA,CA,93108,34.437464665296034,-119.63376898516157
93,375 VALLEY VISTA DRIVE,LYTLE CREEK,CA,92358,34.24610229996807,-117.4953506999392
94,441 TECATE ROAD,TECATE,CA,91980,32.57896922859743,-116.62806920128537
95,37696 STATE HIGHWAY 38,ANGELUS OAKS,CA,92305,34.14961893240951,-116.98058647052983
96,333 STATE HIGHWAY 49,COLOMA,CA,95613,38.80016585539926,-120.89039789571103
97,29586 STATE HIGHWAY 89,CANYON DAM,CA,95923,40.172125340769696,-121.07201580063747
98,10375 OLD DOBBINS ROAD,DOBBINS,CA,95935,39.3720842180532,-121.20800221500974
99,1228 WASCO TRAIL,BLAIRSDEN GRAEAGLE,CA,96103,39.76919277681179,-120.6187446305077
100,27177 STATE HIGHWAY 189 SUITE F,BLUE JAY,CA,92317,34.24570352913537,-117.20971239934084
101,951 KUFFEL CANYON ROAD,SKYFOREST,CA,92385,34.23595697706713,-117.17901172126352
102,101 OLD SPANISH TRAIL HIGHWAY,TECOPA,CA,92389,35.84848649123086,-116.22759573003196
103,102 CALIFORNIA STREET,PARKER DAM,CA,92267,34.28479288532469,-114.13989752181419
104,10353 OASIS ROAD,PINON HILLS,CA,92372,34.43846018508617,-117.64229897887776
105,17748 LOWER COLFAX ROAD,CHICAGO PARK,CA,95712,39.14588689548759,-120.96721374246681
106,2515B STATE HIGHWAY 36,MAD RIVER,CA,95552,40.452487647626185,-123.50834338018916
107,450 - 075 MILFORD GRADE,MILFORD,CA,96121,40.167927974109546,-120.36826303818816
108,1600 SQUAW VALLEY ROAD,OLYMPIC VALLEY,CA,96146,39.19965977040414,-120.22857095090501
109,519 - 300 SCHOOLHOUSE ROAD,RAVENDALE,CA,96123,40.797358647090846,-120.36712871006495
110,47500 HIGHWAY 1,BIG SUR,CA,93920,36.23682714271138,-121.7703650495535
111,111747 US HIGHWAY 395,COLEVILLE,CA,96107,38.570785771380315,-119.51005614681196
112,62804 HUNTINGTON LAKE ROAD,LAKESHORE,CA,93634,37.2521118713438,-119.1738383546255
113,68025 JOLON ROAD,LOCKWOOD,CA,93932,35.93706024838502,-121.07163483084639
114,24431 SIERRA PARK ROAD,MI WUK VILLAGE,CA,95346,38.06498086695706,-120.18192009785241
115,47065 ROAD 201,O'NEALS,CA,93645,37.128127590286226,-119.69517121527463
116,8100 WEST AZUSA ROAD,SANTA RITA PARK,CA,93661,37.04928535290861,-120.63703145027097
117,63228 GENERALS HIGHWAY,SEQUOIA NATIONAL PARK,CA,93262,36.60475690464028,-118.73138149593728
118,40677 SHAVER FOREST ROAD,SHAVER LAKE,CA,93664,37.09564118096165,-119.31754307002745
119,4529A STATE HIGHWAY 4,AVERY,CA,95224,38.20442371778228,-120.3689767486037
120,14055 STATE HIGHWAY 16,BROOKS,CA,95606,38.736986956539,-122.14478271043066
121,5240 BOHEMIAN HIGHWAY,CAMP MEEKER,CA,95419,38.42490604348171,-122.95866862687569
122,12650 IVIE ROAD,HERALD,CA,95638,38.29413764368468,-121.24176743474897
123,19420 STATE HIGHWAY 116,MONTE RIO,CA,95462,38.47738404235861,-122.99775961535664
124,5850 POPE VALLEY ROAD,POPE VALLEY,CA,94567,38.61553698797752,-122.42764668290823
125,43795 NORTH FORK DRIVE,THREE RIVERS,CA,93271,36.47090593088973,-118.91952647897858
126,17605 PARK TERRACE ROAD,CORNING,CA,96021,40.01510294934678,-122.38077244860602
127,10210 MAIN STREET,POTTER VALLEY,CA,95469,39.32215807333898,-123.10861667143462
